pizza_key,pizza_name_id,product_code,pizza_name,pizza_short_name,pizza_category,pizza_size,size_label,size_sort_order,unit_price,min_unit_price,max_unit_price,price_is_stable,ingredient_count,is_vegetarian,pizza_ingredients
12,ckn_alfredo_s,ckn_alfredo,The Chicken Alfredo Pizza,Chicken Alfredo,Chicken,S,Small,1,12.75,12.75,12.75,True,6,False,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce"
13,ckn_alfredo_m,ckn_alfredo,The Chicken Alfredo Pizza,Chicken Alfredo,Chicken,M,Medium,2,16.75,16.75,16.75,True,6,False,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce"
14,ckn_alfredo_l,ckn_alfredo,The Chicken Alfredo Pizza,Chicken Alfredo,Chicken,L,Large,3,20.75,20.75,20.75,True,6,False,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce"
15,ckn_pesto_s,ckn_pesto,The Chicken Pesto Pizza,Chicken Pesto,Chicken,S,Small,1,12.75,12.75,12.75,True,6,False,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce"
16,ckn_pesto_m,ckn_pesto,The Chicken Pesto Pizza,Chicken Pesto,Chicken,M,Medium,2,16.75,16.75,16.75,True,6,False,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce"
17,ckn_pesto_l,ckn_pesto,The Chicken Pesto Pizza,Chicken Pesto,Chicken,L,Large,3,20.75,20.75,20.75,True,6,False,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce"
18,classic_dlx_s,classic_dlx,The Classic Deluxe Pizza,Classic Deluxe,Classic,S,Small,1,12.0,12.0,12.0,True,5,False,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
19,classic_dlx_m,classic_dlx,The Classic Deluxe Pizza,Classic Deluxe,Classic,M,Medium,2,16.0,16.0,16.0,True,5,False,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
20,classic_dlx_l,classic_dlx,The Classic Deluxe Pizza,Classic Deluxe,Classic,L,Large,3,20.5,20.5,20.5,True,5,False,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
21,five_cheese_l,five_cheese,The Five Cheese Pizza,Five Cheese,Veggie,L,Large,3,18.5,18.5,18.5,True,6,True,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic"
22,four_cheese_m,four_cheese,The Four Cheese Pizza,Four Cheese,Veggie,M,Medium,2,14.75,14.75,14.75,True,5,True,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic"
23,four_cheese_l,four_cheese,The Four Cheese Pizza,Four Cheese,Veggie,L,Large,3,17.95,17.95,17.95,True,5,True,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic"
24,green_garden_s,green_garden,The Green Garden Pizza,Green Garden,Veggie,S,Small,1,12.0,12.0,12.0,True,5,True,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese"
25,green_garden_m,green_garden,The Green Garden Pizza,Green Garden,Veggie,M,Medium,2,16.0,16.0,16.0,True,5,True,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese"
26,green_garden_l,green_garden,The Green Garden Pizza,Green Garden,Veggie,L,Large,3,20.25,20.25,20.25,True,5,True,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese"
27,hawaiian_s,hawaiian,The Hawaiian Pizza,Hawaiian,Classic,S,Small,1,10.5,10.5,10.5,True,3,False,"Sliced Ham, Pineapple, Mozzarella Cheese"
28,hawaiian_m,hawaiian,The Hawaiian Pizza,Hawaiian,Classic,M,Medium,2,13.25,13.25,13.25,True,3,False,"Sliced Ham, Pineapple, Mozzarella Cheese"
29,hawaiian_l,hawaiian,The Hawaiian Pizza,Hawaiian,Classic,L,Large,3,16.5,16.5,16.5,True,3,False,"Sliced Ham, Pineapple, Mozzarella Cheese"
30,ital_cpcllo_s,ital_cpcllo,The Italian Capocollo Pizza,Italian Capocollo,Classic,S,Small,1,12.0,12.0,12.0,True,6,False,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
31,ital_cpcllo_m,ital_cpcllo,The Italian Capocollo Pizza,Italian Capocollo,Classic,M,Medium,2,16.0,16.0,16.0,True,6,False,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
32,ital_cpcllo_l,ital_cpcllo,The Italian Capocollo Pizza,Italian Capocollo,Classic,L,Large,3,20.5,20.5,20.5,True,6,False,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
33,ital_supr_s,ital_supr,The Italian Supreme Pizza,Italian Supreme,Supreme,S,Small,1,12.5,12.5,12.5,True,6,False,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
34,ital_supr_m,ital_supr,The Italian Supreme Pizza,Italian Supreme,Supreme,M,Medium,2,16.5,16.5,16.5,True,6,False,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
35,ital_supr_l,ital_supr,The Italian Supreme Pizza,Italian Supreme,Supreme,L,Large,3,20.75,20.75,20.75,True,6,False,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
36,ital_veggie_s,ital_veggie,The Italian Vegetables Pizza,Italian Vegetables,Veggie,S,Small,1,12.75,12.75,12.75,True,7,True,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce"
37,ital_veggie_m,ital_veggie,The Italian Vegetables Pizza,Italian Vegetables,Veggie,M,Medium,2,16.75,16.75,16.75,True,7,True,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce"
38,ital_veggie_l,ital_veggie,The Italian Vegetables Pizza,Italian Vegetables,Veggie,L,Large,3,21.0,21.0,21.0,True,7,True,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce"
39,mediterraneo_s,mediterraneo,The Mediterranean Pizza,Mediterranean,Veggie,S,Small,1,12.0,12.0,12.0,True,7,True,"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions"
40,mediterraneo_m,mediterraneo,The Mediterranean Pizza,Mediterranean,Veggie,M,Medium,2,16.0,16.0,16.0,True,7,True,"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions"
41,mediterraneo_l,mediterraneo,The Mediterranean Pizza,Mediterranean,Veggie,L,Large,3,20.25,20.25,20.25,True,7,True,"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions"
42,mexicana_s,mexicana,The Mexicana Pizza,Mexicana,Veggie,S,Small,1,12.0,12.0,12.0,True,8,True,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
43,mexicana_m,mexicana,The Mexicana Pizza,Mexicana,Veggie,M,Medium,2,16.0,16.0,16.0,True,8,True,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
44,mexicana_l,mexicana,The Mexicana Pizza,Mexicana,Veggie,L,Large,3,20.25,20.25,20.25,True,8,True,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
45,napolitana_s,napolitana,The Napolitana Pizza,Napolitana,Classic,S,Small,1,12.0,12.0,12.0,True,5,False,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic"
46,napolitana_m,napolitana,The Napolitana Pizza,Napolitana,Classic,M,Medium,2,16.0,16.0,16.0,True,5,False,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic"
47,napolitana_l,napolitana,The Napolitana Pizza,Napolitana,Classic,L,Large,3,20.5,20.5,20.5,True,5,False,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic"
48,pep_msh_pep_s,pep_msh_pep,"The Pepperoni, Mushroom, and Peppers Pizza","Pepperoni, Mushroom, and Peppers",Classic,S,Small,1,11.0,11.0,11.0,True,3,False,"Pepperoni, Mushrooms, Green Peppers"
49,pep_msh_pep_m,pep_msh_pep,"The Pepperoni, Mushroom, and Peppers Pizza","Pepperoni, Mushroom, and Peppers",Classic,M,Medium,2,14.5,14.5,14.5,True,3,False,"Pepperoni, Mushrooms, Green Peppers"
50,pep_msh_pep_l,pep_msh_pep,"The Pepperoni, Mushroom, and Peppers Pizza","Pepperoni, Mushroom, and Peppers",Classic,L,Large,3,17.5,17.5,17.5,True,3,False,"Pepperoni, Mushrooms, Green Peppers"
51,pepperoni_s,pepperoni,The Pepperoni Pizza,Pepperoni,Classic,S,Small,1,9.75,9.75,9.75,True,2,False,"Mozzarella Cheese, Pepperoni"
52,pepperoni_m,pepperoni,The Pepperoni Pizza,Pepperoni,Classic,M,Medium,2,12.5,12.5,12.5,True,2,False,"Mozzarella Cheese, Pepperoni"
53,pepperoni_l,pepperoni,The Pepperoni Pizza,Pepperoni,Classic,L,Large,3,15.25,15.25,15.25,True,2,False,"Mozzarella Cheese, Pepperoni"
54,peppr_salami_s,peppr_salami,The Pepper Salami Pizza,Pepper Salami,Supreme,S,Small,1,12.5,12.5,12.5,True,6,False,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic"
55,peppr_salami_m,peppr_salami,The Pepper Salami Pizza,Pepper Salami,Supreme,M,Medium,2,16.5,16.5,16.5,True,6,False,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic"
56,peppr_salami_l,peppr_salami,The Pepper Salami Pizza,Pepper Salami,Supreme,L,Large,3,20.75,20.75,20.75,True,6,False,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic"
57,prsc_argla_s,prsc_argla,The Prosciutto and Arugula Pizza,Prosciutto and Arugula,Supreme,S,Small,1,12.5,12.5,12.5,True,3,False,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese"
58,prsc_argla_m,prsc_argla,The Prosciutto and Arugula Pizza,Prosciutto and Arugula,Supreme,M,Medium,2,16.5,16.5,16.5,True,3,False,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese"
59,prsc_argla_l,prsc_argla,The Prosciutto and Arugula Pizza,Prosciutto and Arugula,Supreme,L,Large,3,20.75,20.75,20.75,True,3,False,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese"
60,sicilian_s,sicilian,The Sicilian Pizza,Sicilian,Supreme,S,Small,1,12.25,12.25,12.25,True,6,False,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic"
61,sicilian_m,sicilian,The Sicilian Pizza,Sicilian,Supreme,M,Medium,2,16.25,16.25,16.25,True,6,False,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic"
62,sicilian_l,sicilian,The Sicilian Pizza,Sicilian,Supreme,L,Large,3,20.25,20.25,20.25,True,6,False,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic"
63,soppressata_s,soppressata,The Soppressata Pizza,Soppressata,Supreme,S,Small,1,12.5,12.5,12.5,True,5,False,"Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic"
64,soppressata_m,soppressata,The Soppressata Pizza,Soppressata,Supreme,M,Medium,2,16.5,16.5,16.5,True,5,False,"Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic"
65,soppressata_l,soppressata,The Soppressata Pizza,Soppressata,Supreme,L,Large,3,20.75,20.75,20.75,True,5,False,"Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic"
66,southw_ckn_s,southw_ckn,The Southwest Chicken Pizza,Southwest Chicken,Chicken,S,Small,1,12.75,12.75,12.75,True,8,False,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce"
67,southw_ckn_m,southw_ckn,The Southwest Chicken Pizza,Southwest Chicken,Chicken,M,Medium,2,16.75,16.75,16.75,True,8,False,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce"
68,southw_ckn_l,southw_ckn,The Southwest Chicken Pizza,Southwest Chicken,Chicken,L,Large,3,20.75,20.75,20.75,True,8,False,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce"
69,spicy_ital_s,spicy_ital,The Spicy Italian Pizza,Spicy Italian,Supreme,S,Small,1,12.5,12.5,12.5,True,6,False,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic"
70,spicy_ital_m,spicy_ital,The Spicy Italian Pizza,Spicy Italian,Supreme,M,Medium,2,16.5,16.5,16.5,True,6,False,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic"
71,spicy_ital_l,spicy_ital,The Spicy Italian Pizza,Spicy Italian,Supreme,L,Large,3,20.75,20.75,20.75,True,6,False,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic"
72,spin_pesto_s,spin_pesto,The Spinach Pesto Pizza,Spinach Pesto,Veggie,S,Small,1,12.5,12.5,12.5,True,6,True,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce"
73,spin_pesto_m,spin_pesto,The Spinach Pesto Pizza,Spinach Pesto,Veggie,M,Medium,2,16.5,16.5,16.5,True,6,True,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce"
74,spin_pesto_l,spin_pesto,The Spinach Pesto Pizza,Spinach Pesto,Veggie,L,Large,3,20.75,20.75,20.75,True,6,True,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce"
75,spinach_fet_s,spinach_fet,The Spinach and Feta Pizza,Spinach and Feta,Veggie,S,Small,1,12.0,12.0,12.0,True,5,True,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic"
76,spinach_fet_m,spinach_fet,The Spinach and Feta Pizza,Spinach and Feta,Veggie,M,Medium,2,16.0,16.0,16.0,True,5,True,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic"
77,spinach_fet_l,spinach_fet,The Spinach and Feta Pizza,Spinach and Feta,Veggie,L,Large,3,20.25,20.25,20.25,True,5,True,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic"
78,spinach_supr_s,spinach_supr,The Spinach Supreme Pizza,Spinach Supreme,Supreme,S,Small,1,12.5,12.5,12.5,True,8,False,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese"
79,spinach_supr_m,spinach_supr,The Spinach Supreme Pizza,Spinach Supreme,Supreme,M,Medium,2,16.5,16.5,16.5,True,8,False,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese"
80,spinach_supr_l,spinach_supr,The Spinach Supreme Pizza,Spinach Supreme,Supreme,L,Large,3,20.75,20.75,20.75,True,8,False,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese"
81,thai_ckn_s,thai_ckn,The Thai Chicken Pizza,Thai Chicken,Chicken,S,Small,1,12.75,12.75,12.75,True,5,False,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
82,thai_ckn_m,thai_ckn,The Thai Chicken Pizza,Thai Chicken,Chicken,M,Medium,2,16.75,16.75,16.75,True,5,False,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
83,thai_ckn_l,thai_ckn,The Thai Chicken Pizza,Thai Chicken,Chicken,L,Large,3,20.75,20.75,20.75,True,5,False,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
84,the_greek_s,the_greek,The Greek Pizza,Greek,Classic,S,Small,1,12.0,12.0,12.0,True,6,False,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
85,the_greek_m,the_greek,The Greek Pizza,Greek,Classic,M,Medium,2,16.0,16.0,16.0,True,6,False,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
86,the_greek_l,the_greek,The Greek Pizza,Greek,Classic,L,Large,3,20.5,20.5,20.5,True,6,False,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
87,the_greek_xl,the_greek,The Greek Pizza,Greek,Classic,XL,Extra Large,4,25.5,25.5,25.5,True,6,False,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
88,the_greek_xxl,the_greek,The Greek Pizza,Greek,Classic,XXL,Double Extra Large,5,35.95,35.95,35.95,True,6,False,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
89,veggie_veg_s,veggie_veg,The Vegetables + Vegetables Pizza,Vegetables + Vegetables,Veggie,S,Small,1,12.0,12.0,12.0,True,8,True,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic"
90,veggie_veg_m,veggie_veg,The Vegetables + Vegetables Pizza,Vegetables + Vegetables,Veggie,M,Medium,2,16.0,16.0,16.0,True,8,True,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic"
91,veggie_veg_l,veggie_veg,The Vegetables + Vegetables Pizza,Vegetables + Vegetables,Veggie,L,Large,3,20.25,20.25,20.25,True,8,True,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic"
