order_item_id,order_id,date_key,time_key,pizza_key,order_ts,quantity,unit_price,total_price,total_price_source,price_variance_flag,order_line_count,order_pizza_count,order_total_value
74,28,20150101,15,12,2015-01-01 15:35:46,1,12.75,12.75,12.75,False,1,1,12.75
75,29,20150101,15,24,2015-01-01 15:41:01,1,12.0,12.0,12.0,False,1,1,12.0
76,30,20150101,15,83,2015-01-01 15:41:25,1,20.75,20.75,20.75,False,1,1,20.75
77,31,20150101,15,43,2015-01-01 15:50:18,1,16.0,16.0,16.0,False,2,2,25.75
78,31,20150101,15,51,2015-01-01 15:50:18,1,9.75,9.75,9.75,False,2,2,25.75
79,32,20150101,15,4,2015-01-01 15:53:18,1,12.0,12.0,12.0,False,4,4,69.25
80,32,20150101,15,26,2015-01-01 15:53:18,1,20.25,20.25,20.25,False,4,4,69.25
81,32,20150101,15,32,2015-01-01 15:53:18,1,20.5,20.5,20.5,False,4,4,69.25
82,32,20150101,15,34,2015-01-01 15:53:18,1,16.5,16.5,16.5,False,4,4,69.25
83,33,20150101,15,3,2015-01-01 15:54:08,1,20.75,20.75,20.75,False,2,2,32.75
84,33,20150101,15,24,2015-01-01 15:54:08,1,12.0,12.0,12.0,False,2,2,32.75
85,34,20150101,16,84,2015-01-01 16:21:21,1,12.0,12.0,12.0,False,1,1,12.0
86,35,20150101,16,25,2015-01-01 16:32:04,1,16.0,16.0,16.0,False,4,4,66.75
87,35,20150101,16,50,2015-01-01 16:32:04,1,17.5,17.5,17.5,False,4,4,66.75
88,35,20150101,16,52,2015-01-01 16:32:04,1,12.5,12.5,12.5,False,4,4,66.75
89,35,20150101,16,83,2015-01-01 16:32:04,1,20.75,20.75,20.75,False,4,4,66.75
90,36,20150101,16,2,2015-01-01 16:54:09,1,16.75,16.75,16.75,False,2,2,32.75
91,36,20150101,16,19,2015-01-01 16:54:09,1,16.0,16.0,16.0,False,2,2,32.75
92,37,20150101,16,35,2015-01-01 16:56:09,1,20.75,20.75,20.75,False,2,2,41.0
93,37,20150101,16,44,2015-01-01 16:56:09,1,20.25,20.25,20.25,False,2,2,41.0
94,38,20150101,17,27,2015-01-01 17:03:00,1,10.5,10.5,10.5,False,2,2,31.0
95,38,20150101,17,32,2015-01-01 17:03:00,1,20.5,20.5,20.5,False,2,2,31.0
96,39,20150101,17,35,2015-01-01 17:07:23,1,20.75,20.75,20.75,False,1,1,20.75
97,40,20150101,17,23,2015-01-01 17:14:36,1,17.95,17.95,17.95,False,2,2,30.7
98,40,20150101,17,66,2015-01-01 17:14:36,1,12.75,12.75,12.75,False,2,2,30.7
99,41,20150101,17,22,2015-01-01 17:15:20,1,14.75,14.75,14.75,False,2,2,26.75
100,41,20150101,17,24,2015-01-01 17:15:20,1,12.0,12.0,12.0,False,2,2,26.75
101,42,20150101,17,4,2015-01-01 17:28:09,1,12.0,12.0,12.0,False,4,4,67.25
102,42,20150101,17,21,2015-01-01 17:28:09,1,18.5,18.5,18.5,False,4,4,67.25
103,42,20150101,17,44,2015-01-01 17:28:09,1,20.25,20.25,20.25,False,4,4,67.25
104,42,20150101,17,55,2015-01-01 17:28:09,1,16.5,16.5,16.5,False,4,4,67.25
105,43,20150101,17,13,2015-01-01 17:38:34,1,16.75,16.75,16.75,False,3,3,54.0
106,43,20150101,17,34,2015-01-01 17:38:34,1,16.5,16.5,16.5,False,3,3,54.0
107,43,20150101,17,56,2015-01-01 17:38:34,1,20.75,20.75,20.75,False,3,3,54.0
108,44,20150101,17,72,2015-01-01 17:54:20,1,12.5,12.5,12.5,False,1,1,12.5
109,45,20150101,17,23,2015-01-01 17:55:48,1,17.95,17.95,17.95,False,3,3,45.2
110,45,20150101,17,27,2015-01-01 17:55:48,1,10.5,10.5,10.5,False,3,3,45.2
111,45,20150101,17,82,2015-01-01 17:55:48,1,16.75,16.75,16.75,False,3,3,45.2
112,46,20150101,18,17,2015-01-01 18:25:51,1,20.75,20.75,20.75,False,3,3,58.0
113,46,20150101,18,20,2015-01-01 18:25:51,1,20.5,20.5,20.5,False,3,3,58.0
114,46,20150101,18,82,2015-01-01 18:25:51,1,16.75,16.75,16.75,False,3,3,58.0
115,47,20150101,18,68,2015-01-01 18:26:34,1,20.75,20.75,20.75,False,2,2,32.75
116,47,20150101,18,89,2015-01-01 18:26:34,1,12.0,12.0,12.0,False,2,2,32.75
117,48,20150101,18,16,2015-01-01 18:26:42,1,16.75,16.75,16.75,False,4,4,70.25
118,48,20150101,18,24,2015-01-01 18:26:42,1,12.0,12.0,12.0,False,4,4,70.25
119,48,20150101,18,59,2015-01-01 18:26:42,1,20.75,20.75,20.75,False,4,4,70.25
120,48,20150101,18,71,2015-01-01 18:26:42,1,20.75,20.75,20.75,False,4,4,70.25
121,49,20150101,18,62,2015-01-01 18:33:00,1,20.25,20.25,20.25,False,1,1,20.25
122,50,20150101,18,87,2015-01-01 18:41:01,1,25.5,25.5,25.5,False,1,1,25.5
123,51,20150101,18,3,2015-01-01 18:48:28,1,20.75,20.75,20.75,False,2,2,38.25
124,51,20150101,18,50,2015-01-01 18:48:28,1,17.5,17.5,17.5,False,2,2,38.25
125,52,20150101,18,29,2015-01-01 18:53:02,1,16.5,16.5,16.5,False,3,3,57.5
126,52,20150101,18,44,2015-01-01 18:53:02,1,20.25,20.25,20.25,False,3,3,57.5
127,52,20150101,18,71,2015-01-01 18:53:02,1,20.75,20.75,20.75,False,3,3,57.5
128,53,20150101,18,48,2015-01-01 18:54:17,1,11.0,11.0,11.0,False,2,2,27.5
129,53,20150101,18,79,2015-01-01 18:54:17,1,16.5,16.5,16.5,False,2,2,27.5
130,54,20150101,19,58,2015-01-01 19:01:45,1,16.5,16.5,16.5,False,2,2,37.25
131,54,20150101,19,83,2015-01-01 19:01:45,1,20.75,20.75,20.75,False,2,2,37.25
132,55,20150101,19,54,2015-01-01 19:03:19,1,12.5,12.5,12.5,False,2,2,33.25
133,55,20150101,19,71,2015-01-01 19:03:19,1,20.75,20.75,20.75,False,2,2,33.25
134,56,20150101,19,19,2015-01-01 19:07:00,1,16.0,16.0,16.0,False,3,3,53.0
135,56,20150101,19,41,2015-01-01 19:07:00,1,20.25,20.25,20.25,False,3,3,53.0
136,56,20150101,19,67,2015-01-01 19:07:00,1,16.75,16.75,16.75,False,3,3,53.0
137,57,20150101,19,19,2015-01-01 19:10:51,1,16.0,16.0,16.0,False,1,1,16.0
138,58,20150101,19,21,2015-01-01 19:30:40,1,18.5,18.5,18.5,False,2,2,31.0
139,58,20150101,19,52,2015-01-01 19:30:40,1,12.5,12.5,12.5,False,2,2,31.0
140,59,20150101,19,36,2015-01-01 19:40:08,1,12.75,12.75,12.75,False,3,3,39.0
141,59,20150101,19,48,2015-01-01 19:40:08,1,11.0,11.0,11.0,False,3,3,39.0
142,59,20150101,19,53,2015-01-01 19:40:08,1,15.25,15.25,15.25,False,3,3,39.0
143,60,20150101,20,17,2015-01-01 20:05:16,1,20.75,20.75,20.75,False,2,2,35.5
144,60,20150101,20,22,2015-01-01 20:05:16,1,14.75,14.75,14.75,False,2,2,35.5
145,61,20150101,20,2,2015-01-01 20:08:43,1,16.75,16.75,16.75,False,2,2,37.5
146,61,20150101,20,35,2015-01-01 20:08:43,1,20.75,20.75,20.75,False,2,2,37.5
147,62,20150101,20,2,2015-01-01 20:50:16,1,16.75,16.75,16.75,False,2,2,33.25
148,62,20150101,20,79,2015-01-01 20:50:16,1,16.5,16.5,16.5,False,2,2,33.25
149,63,20150101,20,49,2015-01-01 20:51:42,1,14.5,14.5,14.5,False,1,1,14.5
150,64,20150101,20,4,2015-01-01 20:52:08,1,12.0,12.0,12.0,False,1,1,12.0
151,65,20150101,21,48,2015-01-01 21:16:00,1,11.0,11.0,11.0,False,4,4,52.25
152,65,20150101,21,60,2015-01-01 21:16:00,1,12.25,12.25,12.25,False,4,4,52.25
153,65,20150101,21,69,2015-01-01 21:16:00,1,12.5,12.5,12.5,False,4,4,52.25
154,65,20150101,21,79,2015-01-01 21:16:00,1,16.5,16.5,16.5,False,4,4,52.25
155,66,20150101,21,19,2015-01-01 21:47:55,1,16.0,16.0,16.0,False,2,2,32.0
156,66,20150101,21,31,2015-01-01 21:47:55,1,16.0,16.0,16.0,False,2,2,32.0
157,67,20150101,22,68,2015-01-01 22:03:40,1,20.75,20.75,20.75,False,1,1,20.75
158,68,20150101,22,19,2015-01-01 22:07:32,1,16.0,16.0,16.0,False,3,3,53.25
159,68,20150101,22,35,2015-01-01 22:07:32,1,20.75,20.75,20.75,False,3,3,53.25
160,68,20150101,22,34,2015-01-01 22:07:32,1,16.5,16.5,16.5,False,3,3,53.25
161,69,20150101,22,3,2015-01-01 22:12:13,1,20.75,20.75,20.75,False,1,1,20.75
162,70,20150102,11,36,2015-01-02 11:38:51,1,12.75,12.75,12.75,False,2,2,33.5
163,70,20150102,11,65,2015-01-02 11:38:51,1,20.75,20.75,20.75,False,2,2,33.5
164,71,20150102,11,83,2015-01-02 11:40:50,1,20.75,20.75,20.75,False,1,1,20.75
165,72,20150102,11,77,2015-01-02 11:57:25,1,20.25,20.25,20.25,False,1,1,20.25
166,73,20150102,11,81,2015-01-02 11:58:56,1,12.75,12.75,12.75,False,1,1,12.75
167,74,20150102,12,21,2015-01-02 12:01:12,1,18.5,18.5,18.5,False,4,4,72.0
168,74,20150102,12,44,2015-01-02 12:01:12,1,20.25,20.25,20.25,False,4,4,72.0
169,74,20150102,12,72,2015-01-02 12:01:12,1,12.5,12.5,12.5,False,4,4,72.0
170,74,20150102,12,80,2015-01-02 12:01:12,1,20.75,20.75,20.75,False,4,4,72.0
171,75,20150102,12,33,2015-01-02 12:10:15,1,12.5,12.5,12.5,False,3,3,53.25
172,75,20150102,12,41,2015-01-02 12:10:15,1,20.25,20.25,20.25,False,3,3,53.25
173,75,20150102,12,47,2015-01-02 12:10:15,1,20.5,20.5,20.5,False,3,3,53.25
174,76,20150102,12,4,2015-01-02 12:21:17,1,12.0,12.0,12.0,False,4,4,70.25
175,76,20150102,12,29,2015-01-02 12:21:17,1,16.5,16.5,16.5,False,4,4,70.25
176,76,20150102,12,38,2015-01-02 12:21:17,1,21.0,21.0,21.0,False,4,4,70.25
177,76,20150102,12,71,2015-01-02 12:21:17,1,20.75,20.75,20.75,False,4,4,70.25
178,77,20150102,12,2,2015-01-02 12:22:46,1,16.75,16.75,16.75,False,2,2,30.0
179,77,20150102,12,28,2015-01-02 12:22:46,1,13.25,13.25,13.25,False,2,2,30.0
180,78,20150102,12,4,2015-01-02 12:28:14,1,12.0,12.0,12.0,False,6,8,132.95
181,78,20150102,12,18,2015-01-02 12:28:14,1,12.0,12.0,12.0,False,6,8,132.95
182,78,20150102,12,23,2015-01-02 12:28:14,1,17.95,17.95,17.95,False,6,8,132.95
183,78,20150102,12,31,2015-01-02 12:28:14,1,16.0,16.0,16.0,False,6,8,132.95
184,78,20150102,12,71,2015-01-02 12:28:14,3,20.75,62.25,62.25,False,6,8,132.95
185,78,20150102,12,81,2015-01-02 12:28:14,1,12.75,12.75,12.75,False,6,8,132.95
186,79,20150102,12,32,2015-01-02 12:29:11,1,20.5,20.5,20.5,False,3,3,52.25
187,79,20150102,12,48,2015-01-02 12:29:11,1,11.0,11.0,11.0,False,3,3,52.25
188,79,20150102,12,83,2015-01-02 12:29:11,1,20.75,20.75,20.75,False,3,3,52.25
189,80,20150102,12,51,2015-01-02 12:35:38,1,9.75,9.75,9.75,False,2,2,26.5
190,80,20150102,12,82,2015-01-02 12:35:38,1,16.75,16.75,16.75,False,2,2,26.5
191,81,20150102,12,83,2015-01-02 12:40:01,1,20.75,20.75,20.75,False,1,1,20.75
192,82,20150102,12,4,2015-01-02 12:45:51,1,12.0,12.0,12.0,False,4,4,65.5
193,82,20150102,12,10,2015-01-02 12:45:51,1,16.75,16.75,16.75,False,4,4,65.5
194,82,20150102,12,71,2015-01-02 12:45:51,1,20.75,20.75,20.75,False,4,4,65.5
195,82,20150102,12,90,2015-01-02 12:45:51,1,16.0,16.0,16.0,False,4,4,65.5
196,83,20150102,12,66,2015-01-02 12:53:27,1,12.75,12.75,12.75,False,1,1,12.75
197,84,20150102,13,53,2015-01-02 13:13:41,1,15.25,15.25,15.25,False,1,1,15.25
198,85,20150102,13,19,2015-01-02 13:34:49,1,16.0,16.0,16.0,False,4,4,64.75
199,85,20150102,13,18,2015-01-02 13:34:49,1,12.0,12.0,12.0,False,4,4,64.75
200,85,20150102,13,35,2015-01-02 13:34:49,1,20.75,20.75,20.75,False,4,4,64.75
201,85,20150102,13,85,2015-01-02 13:34:49,1,16.0,16.0,16.0,False,4,4,64.75
202,86,20150102,13,29,2015-01-02 13:40:31,1,16.5,16.5,16.5,False,1,1,16.5
203,87,20150102,14,31,2015-01-02 14:01:02,1,16.0,16.0,16.0,False,4,4,65.25
204,87,20150102,14,43,2015-01-02 14:01:02,1,16.0,16.0,16.0,False,4,4,65.25
205,87,20150102,14,80,2015-01-02 14:01:02,1,20.75,20.75,20.75,False,4,4,65.25
206,87,20150102,14,78,2015-01-02 14:01:02,1,12.5,12.5,12.5,False,4,4,65.25
207,88,20150102,14,21,2015-01-02 14:10:08,1,18.5,18.5,18.5,False,1,1,18.5
208,89,20150102,14,65,2015-01-02 14:30:19,1,20.75,20.75,20.75,False,2,2,41.5
209,89,20150102,14,83,2015-01-02 14:30:19,1,20.75,20.75,20.75,False,2,2,41.5
210,90,20150102,15,62,2015-01-02 15:08:48,1,20.25,20.25,20.25,False,2,2,33.0
211,90,20150102,15,81,2015-01-02 15:08:48,1,12.75,12.75,12.75,False,2,2,33.0
212,91,20150102,15,3,2015-01-02 15:14:43,2,20.75,41.5,41.5,False,3,4,64.0
213,91,20150102,15,15,2015-01-02 15:14:43,1,12.75,12.75,12.75,False,3,4,64.0
214,91,20150102,15,51,2015-01-02 15:14:43,1,9.75,9.75,9.75,False,3,4,64.0
215,92,20150102,15,2,2015-01-02 15:17:02,1,16.75,16.75,16.75,False,9,10,152.25
216,92,20150102,15,35,2015-01-02 15:17:02,1,20.75,20.75,20.75,False,9,10,152.25
217,92,20150102,15,34,2015-01-02 15:17:02,1,16.5,16.5,16.5,False,9,10,152.25
218,92,20150102,15,36,2015-01-02 15:17:02,1,12.75,12.75,12.75,False,9,10,152.25
219,92,20150102,15,52,2015-01-02 15:17:02,1,12.5,12.5,12.5,False,9,10,152.25
220,92,20150102,15,55,2015-01-02 15:17:02,1,16.5,16.5,16.5,False,9,10,152.25
221,92,20150102,15,75,2015-01-02 15:17:02,1,12.0,12.0,12.0,False,9,10,152.25
222,92,20150102,15,78,2015-01-02 15:17:02,1,12.5,12.5,12.5,False,9,10,152.25
223,92,20150102,15,85,2015-01-02 15:17:02,2,16.0,32.0,32.0,False,9,10,152.25
224,93,20150102,15,61,2015-01-02 15:29:31,1,16.25,16.25,16.25,False,1,1,16.25
225,94,20150102,16,31,2015-01-02 16:17:16,1,16.0,16.0,16.0,False,2,2,28.75
226,94,20150102,16,66,2015-01-02 16:17:16,1,12.75,12.75,12.75,False,2,2,28.75
227,95,20150102,16,45,2015-01-02 16:18:04,1,12.0,12.0,12.0,False,2,2,32.75
228,95,20150102,16,56,2015-01-02 16:18:04,1,20.75,20.75,20.75,False,2,2,32.75
229,96,20150102,16,45,2015-01-02 16:21:20,1,12.0,12.0,12.0,False,1,1,12.0
230,97,20150102,16,4,2015-01-02 16:45:33,1,12.0,12.0,12.0,False,1,1,12.0
231,98,20150102,17,20,2015-01-02 17:18:18,1,20.5,20.5,20.5,False,2,2,41.0
232,98,20150102,17,47,2015-01-02 17:18:18,1,20.5,20.5,20.5,False,2,2,41.0
233,99,20150102,17,35,2015-01-02 17:45:42,1,20.75,20.75,20.75,False,1,1,20.75
234,100,20150102,17,29,2015-01-02 17:46:17,1,16.5,16.5,16.5,False,1,1,16.5
235,101,20150102,17,11,2015-01-02 17:51:33,1,20.75,20.75,20.75,False,4,4,73.25
236,101,20150102,17,53,2015-01-02 17:51:33,1,15.25,15.25,15.25,False,4,4,73.25
237,101,20150102,17,65,2015-01-02 17:51:33,1,20.75,20.75,20.75,False,4,4,73.25
238,101,20150102,17,70,2015-01-02 17:51:33,1,16.5,16.5,16.5,False,4,4,73.25
239,102,20150102,17,1,2015-01-02 17:54:04,1,12.75,12.75,12.75,False,2,2,25.25
240,102,20150102,17,57,2015-01-02 17:54:04,1,12.5,12.5,12.5,False,2,2,25.25
241,103,20150102,18,78,2015-01-02 18:02:09,1,12.5,12.5,12.5,False,1,1,12.5
242,104,20150102,18,2,2015-01-02 18:02:12,1,16.75,16.75,16.75,False,4,4,70.5
243,104,20150102,18,13,2015-01-02 18:02:12,1,16.75,16.75,16.75,False,4,4,70.5
244,104,20150102,18,37,2015-01-02 18:02:12,1,16.75,16.75,16.75,False,4,4,70.5
245,104,20150102,18,91,2015-01-02 18:02:12,1,20.25,20.25,20.25,False,4,4,70.5
246,105,20150102,18,27,2015-01-02 18:12:01,2,10.5,21.0,21.0,False,3,4,52.75
247,105,20150102,18,53,2015-01-02 18:12:01,1,15.25,15.25,15.25,False,3,4,52.75
248,105,20150102,18,58,2015-01-02 18:12:01,1,16.5,16.5,16.5,False,3,4,52.75
249,106,20150102,18,44,2015-01-02 18:12:13,1,20.25,20.25,20.25,False,2,2,41.0
250,106,20150102,18,71,2015-01-02 18:12:13,1,20.75,20.75,20.75,False,2,2,41.0
251,107,20150102,18,11,2015-01-02 18:25:09,1,20.75,20.75,20.75,False,4,4,78.25
252,107,20150102,18,34,2015-01-02 18:25:09,1,16.5,16.5,16.5,False,4,4,78.25
253,107,20150102,18,71,2015-01-02 18:25:09,1,20.75,20.75,20.75,False,4,4,78.25
254,107,20150102,18,91,2015-01-02 18:25:09,1,20.25,20.25,20.25,False,4,4,78.25
255,108,20150102,18,20,2015-01-02 18:25:25,1,20.5,20.5,20.5,False,3,3,57.75
256,108,20150102,18,29,2015-01-02 18:25:25,1,16.5,16.5,16.5,False,3,3,57.75
257,108,20150102,18,80,2015-01-02 18:25:25,1,20.75,20.75,20.75,False,3,3,57.75
258,109,20150102,18,32,2015-01-02 18:27:50,1,20.5,20.5,20.5,False,4,4,74.5
259,109,20150102,18,35,2015-01-02 18:27:50,1,20.75,20.75,20.75,False,4,4,74.5
260,109,20150102,18,52,2015-01-02 18:27:50,1,12.5,12.5,12.5,False,4,4,74.5
261,109,20150102,18,59,2015-01-02 18:27:50,1,20.75,20.75,20.75,False,4,4,74.5
262,110,20150102,18,4,2015-01-02 18:36:19,1,12.0,12.0,12.0,False,4,4,65.75
263,110,20150102,18,47,2015-01-02 18:36:19,1,20.5,20.5,20.5,False,4,4,65.75
264,110,20150102,18,65,2015-01-02 18:36:19,1,20.75,20.75,20.75,False,4,4,65.75
265,110,20150102,18,69,2015-01-02 18:36:19,1,12.5,12.5,12.5,False,4,4,65.75
266,111,20150102,18,10,2015-01-02 18:38:01,1,16.75,16.75,16.75,False,4,4,68.5
267,111,20150102,18,21,2015-01-02 18:38:01,1,18.5,18.5,18.5,False,4,4,68.5
268,111,20150102,18,52,2015-01-02 18:38:01,1,12.5,12.5,12.5,False,4,4,68.5
269,111,20150102,18,74,2015-01-02 18:38:01,1,20.75,20.75,20.75,False,4,4,68.5
270,112,20150102,18,51,2015-01-02 18:41:40,1,9.75,9.75,9.75,False,1,1,9.75
271,113,20150102,18,11,2015-01-02 18:50:21,1,20.75,20.75,20.75,False,3,3,57.75
272,113,20150102,18,44,2015-01-02 18:50:21,1,20.25,20.25,20.25,False,3,3,57.75
273,113,20150102,18,67,2015-01-02 18:50:21,1,16.75,16.75,16.75,False,3,3,57.75
274,114,20150102,18,53,2015-01-02 18:59:32,1,15.25,15.25,15.25,False,2,2,27.5
275,114,20150102,18,60,2015-01-02 18:59:32,1,12.25,12.25,12.25,False,2,2,27.5
276,115,20150102,19,4,2015-01-02 19:05:17,1,12.0,12.0,12.0,False,3,3,49.25
277,115,20150102,19,47,2015-01-02 19:05:17,1,20.5,20.5,20.5,False,3,3,49.25
278,115,20150102,19,82,2015-01-02 19:05:17,1,16.75,16.75,16.75,False,3,3,49.25
279,116,20150102,19,21,2015-01-02 19:18:49,1,18.5,18.5,18.5,False,1,1,18.5
280,117,20150102,19,55,2015-01-02 19:23:02,1,16.5,16.5,16.5,False,2,2,36.75
281,117,20150102,19,62,2015-01-02 19:23:02,1,20.25,20.25,20.25,False,2,2,36.75
282,118,20150102,19,59,2015-01-02 19:26:59,1,20.75,20.75,20.75,False,2,2,32.75
